Global Inputs
Study Type,Direct Sun - Day
Floor Area Loss,40%
Max Direct Sun Time,3 hr

Case 1 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Room Orientation,45
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),20
Room Depth (ft),20
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5

Case 1 Result
% > max direct sun time, 98%, Fail

Case 1 Hours of Sun Floor Grid (length x depth)
depth, 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,1.25,2,4.25,8,8,8,8,7.75,7.75,7.75,7.75,7.5,7.5,7.25,6.75,6,3.75,0,0,0
2,1.75,2.5,4,6,7.75,7.75,7.5,7.5,7.5,7.25,7.25,7,6.75,6.5,6,5.25,3.75,1.75,0,0
3,2,2.75,3.75,5,6.25,7.25,7.25,7.25,7,7,6.75,6.5,6.25,6,5.5,4.75,3.75,2.5,1.25,0
4,2.25,3,3.5,4.5,5.5,6.5,7,7,6.75,6.75,6.5,6.25,6,5.75,5.25,4.5,3.75,2.75,1.75,0.75
5,2.25,2.75,3.5,4,4.75,5.5,6,6.75,6.5,6.5,6.25,6,5.75,5.25,5,4.5,3.75,3,2.25,1.5
6,2.25,2.75,3.25,3.75,4.25,5,5.25,6,6.25,6.25,6,5.75,5.5,5.25,4.75,4.25,3.75,3.25,2.5,1.75
7,2.25,2.75,3,3.5,4,4.5,5,5.25,5.75,6,5.75,5.5,5.25,5,4.75,4.25,3.75,3.25,2.75,2
8,2.25,2.5,3,3.25,3.75,4.25,4.5,5,5.25,5.25,5.75,5.5,5.25,4.75,4.5,4.25,3.75,3.25,2.75,2.25
9,2.25,2.25,2.75,3.25,3.25,3.75,4,4.5,4.5,5,5.25,5.25,5,4.75,4.5,4.25,3.75,3.25,3,2.5
10,2,2.5,2.75,2.75,3.25,3.5,3.75,4,4.25,4.5,4.5,5,5,4.75,4.5,4,3.75,3.5,3,2.5
11,2.25,2.5,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.25,4.5,4.5,4.5,4.25,4,3.75,3.5,3,2.75
12,2,2.25,2.5,2.5,2.75,3.25,3.25,3.5,3.75,3.75,4,4.25,4.25,4.25,4.25,4,3.75,3.5,3.25,2.75
13,2,2.25,2.25,2.5,2.75,2.75,3.25,3.25,3.5,3.5,3.75,4,4,4,4,4,3.75,3.5,3.25,3
14,2,2,2.25,2.5,2.5,2.75,2.75,3.25,3.25,3.5,3.5,3.5,3.75,3.75,3.75,3.75,3.75,3.5,3.25,3
15,1.75,2,2.25,2.25,2.5,2.5,2.75,2.75,3,3,3.25,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.25,3
16,1.75,2,2,2.25,2.5,2.5,2.75,2.75,3,3,3,3.25,3.25,3.25,3.5,3.5,3.25,3.25,3.25,3
17,1.75,1.75,2,2.25,2.25,2.5,2.5,2.5,2.5,2.75,2.75,3,3,3,3.25,3.25,3.25,3,3,3
18,1.5,1.75,2,2,2.25,2.25,2.25,2.5,2.5,2.75,2.75,2.75,3,3,3,3,3,3,3,3
19,1.75,1.75,1.75,2,2.25,2,2.25,2.25,2.5,2.5,2.75,2.5,2.75,2.75,2.75,3,2.75,2.75,2.75,3
20,1.75,1.75,1.75,2,1.75,2,2.25,2.25,2.5,2.25,2.5,2.5,2.75,2.75,2.5,2.75,2.75,2.75,2.75,2.75

Case 1 Hours of Sun Floor Grid ASCI-art (length x depth)
depth, 20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,.,-,•,◼,◼,◼,◼,◼,◼,◼,◼,◼,◼,◾,◾,▬,•, , , 
2,-,=,•,▬,◼,◼,◼,◼,◼,◾,◾,◾,◾,◾,▬,▪,•,-, , 
3,-,=,•,▪,▬,◾,◾,◾,◾,◾,◾,◾,▬,▬,▬,▪,•,=,., 
4,-,=,•,▪,▬,◾,◾,◾,◾,◾,◾,▬,▬,▬,▪,▪,•,=,-,.
5,-,=,•,•,▪,▬,▬,◾,◾,◾,▬,▬,▬,▪,▪,▪,•,=,-,-
6,-,=,=,•,•,▪,▪,▬,▬,▬,▬,▬,▬,▪,▪,•,•,=,=,-
7,-,=,=,•,•,▪,▪,▪,▬,▬,▬,▬,▪,▪,▪,•,•,=,=,-
8,-,=,=,=,•,•,▪,▪,▪,▪,▬,▬,▪,▪,▪,•,•,=,=,-
9,-,-,=,=,=,•,•,▪,▪,▪,▪,▪,▪,▪,▪,•,•,=,=,=
10,-,=,=,=,=,•,•,•,•,▪,▪,▪,▪,▪,▪,•,•,•,=,=
11,-,=,=,=,=,=,•,•,•,•,•,▪,▪,▪,•,•,•,•,=,=
12,-,-,=,=,=,=,=,•,•,•,•,•,•,•,•,•,•,•,=,=
13,-,-,-,=,=,=,=,=,•,•,•,•,•,•,•,•,•,•,=,=
14,-,-,-,=,=,=,=,=,=,•,•,•,•,•,•,•,•,•,=,=
15,-,-,-,-,=,=,=,=,=,=,=,=,=,•,•,•,•,•,=,=
16,-,-,-,-,=,=,=,=,=,=,=,=,=,=,•,•,=,=,=,=
17,-,-,-,-,-,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
18,-,-,-,-,-,-,-,=,=,=,=,=,=,=,=,=,=,=,=,=
19,-,-,-,-,-,-,-,-,=,=,=,=,=,=,=,=,=,=,=,=
20,-,-,-,-,-,-,-,-,=,-,=,=,=,=,=,=,=,=,=,=

Case 2 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Room Orientation,-90
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),60
Room Depth (ft),60
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5

Case 2 Result
% > max direct sun time, 38%, Pass

Case 2 Hours of Sun Floor Grid (length x depth)
depth, 60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4.5,5,5.25,5.25,5.25,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,1,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.5,4.25,4.5,4.75,5,5,5.25,5.25,5.25,5.25,5.25,5.25,5.5,3,2,1.25,1,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,3,3.5,4,4.25,4.5,4.75,4.75,5,5,5,5.25,5.25,5.25,3.5,2.25,1.75,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,3.25,3.5,4,4.25,4.5,4.5,4.75,4.75,4.75,5,5,5,3.5,2.75,2,1.75,1.25,1,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
