Global Inputs
Study Type,Direct Sun - Day
Floor Area Loss,40%
Max Direct Sun Time,3 hr

Case 1 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Window Orientation,240
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),34
Room Depth (ft),34
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5

Case 1 Result
% > max direct sun time, 39%, Pass

Case 1 Hours of Sun Floor Grid (length x depth)
depth, 34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0.25,0.25,0.25,0.25,0.5,0.5,0.75,1,2,4.5,7.25,7.25,7.25,7,7,7,7,7,6.75,6.75,6.5,6.25,5.25,2.75,0,0,0,0,0,0,0,0,0,0
2,0.5,0.5,0.5,0.5,0.75,0.75,1.25,1.75,2.5,4.25,6.75,7,7,6.75,6.75,6.75,6.5,6.5,6.25,6.25,5.75,5.25,4.5,2.75,0.25,0,0,0,0,0,0,0,0,0
3,0.5,0.5,0.75,0.75,1,1.25,1.75,2,2.75,4,5.5,6.75,6.75,6.5,6.5,6.5,6.25,6.25,6,5.75,5.25,4.75,4,2.75,1.25,0,0,0,0,0,0,0,0,0
4,0.75,0.75,0.75,1,1.25,1.5,1.75,2.25,3,3.75,5,6.25,6.5,6.25,6.25,6.25,6,5.75,5.5,5.25,5,4.5,3.75,2.75,1.5,0.25,0,0,0,0,0,0,0,0
5,0.75,0.75,1,1.25,1.5,1.75,1.75,2.25,3,3.75,4.75,5.5,6.25,6.25,6,6,5.75,5.5,5.25,5,4.75,4.25,3.5,2.75,1.75,0.75,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.25,0.75,1.25,2,2.75,3.5,4.5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.5,4,3.5,2.75,2,1.25,0.25,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0.25,0.75,1.25,2,2.5,3.25,4,4,4,4,4,4,4,4,3.75,3.25,2.75,2,1.5,0.75,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0.25,0.75,1.25,2,2.5,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.25,2.75,2.25,1.5,1,0.25,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,2.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,2.75,2.25,1.75,1.25,0.75,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.25,1.75,1.25,0.75,0.25,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0.5,0.75,1.25,1.75,2.25,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.25,2,1.5,1,0.5,0.25,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.25,1.75,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.25,2,1.5,1.25,0.75,0.25,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.25,1.75,2,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2,1.75,1.25,1,0.5,0.25,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.25,1.75,2,2,2,2,2,2,2,2,2,1.75,1.5,1,0.75,0.25,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1.25,1.5,1.75,2,2,2,2,2,2,2,2,1.75,1.5,1.25,0.75,0.5,0.25,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.25,1,0.75,0.25,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,1,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.25,1,0.75,0.5,0.25,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.25,1,0.75,0.25,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1,0.75,0.5,0.25
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1,0.75,0.5,0.25
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1,0.75,0.5
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,0.75,0.5
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1,0.75
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,0.75
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,0.75
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1,1,1,1,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,0.75,1,1,1,1,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1,1,1,1,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,0.75,1,1,1,1,1,1,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1,1,1,1,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1,1,1,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75

Case 1 Hours of Sun Floor Grid ASCI-art (length x depth)
depth, 34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1, , , , ,.,.,.,.,-,▪,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,▬,▪,=, , , , , , , , , , 
2,.,.,.,.,.,.,.,-,=,•,◾,◾,◾,◾,◾,◾,◾,◾,▬,▬,▬,▪,▪,=, , , , , , , , , , 
3,.,.,.,.,.,.,-,-,=,•,▬,◾,◾,◾,◾,◾,▬,▬,▬,▬,▪,▪,•,=,., , , , , , , , , 
4,.,.,.,.,.,-,-,-,=,•,▪,▬,◾,▬,▬,▬,▬,▬,▬,▪,▪,▪,•,=,-, , , , , , , , , 
5,.,.,.,.,-,-,-,-,=,•,▪,▬,▬,▬,▬,▬,▬,▬,▪,▪,▪,•,•,=,-,., , , , , , , , 
6, , , , , , , ,.,.,-,=,•,▪,▪,▪,▪,▪,▪,▪,▪,▪,•,•,=,-,., , , , , , , , 
7, , , , , , , , ,.,.,-,=,=,•,•,•,•,•,•,•,•,•,=,=,-,-,., , , , , , , 
8, , , , , , , , , ,.,.,-,=,=,•,•,•,•,•,•,•,•,=,=,-,-,., , , , , , , 
9, , , , , , , , , ,.,.,-,-,=,=,=,=,=,=,=,=,=,=,=,-,-,.,., , , , , , 
10, , , , , , , , , , ,.,.,-,-,=,=,=,=,=,=,=,=,=,=,-,-,.,., , , , , , 
11, , , , , , , , , , ,.,.,.,-,-,=,=,=,=,=,=,=,=,=,-,-,-,.,., , , , , 
12, , , , , , , , , , , ,.,.,.,-,-,=,=,=,=,=,=,=,=,-,-,-,.,., , , , , 
13, , , , , , , , , , , , ,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,., , , , 
14, , , , , , , , , , , , , ,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,., , , , 
15, , , , , , , , , , , , , ,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,., , , 
16, , , , , , , , , , , , , , ,.,.,.,-,-,-,-,-,-,-,-,-,-,-,.,.,., , , 
17, , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,-,-,-,-,-,.,.,.,., , 
18, , , , , , , , , , , , , , , ,.,.,.,-,-,-,-,-,-,-,-,-,-,-,.,.,., , 
19, , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,-,-,-,-,.,.,.,., 
20, , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,-,-,-,.,.,.,., 
21, , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,-,-,-,-,.,.,.,.
22, , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23, , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24, , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25, , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26, , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27, , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.
28, , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.
29, , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.
30, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.
31, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.
32, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.
33, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.
34, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.

Case 2 Inputs
Month,9
Day,21
Hour,12
Time Step per Hour,4
Longitude,-71
Latitude,42
Time Zone Offset,-5
Outdoor Temperature (°F),90.9
Indoor Temperature (°F),76
Relative Humidity (%),60
Air Speed (fpm),10
Clothing Level (clo),0.5
Metabolic Rate (met),1.2
Occupant Posture,seated
Average Shortwave Absorptivity,0.67
Window Orientation,120
Ceiling Height (ft),12
Grid Height (ft),3
Room Length (ft),59
Room Depth (ft),59
Wall R-Value (ft²hr°F/Btu),15
Window Height from Sill (ft),7.0
Sill Height (ft),2.0
Window Width (ft),14
Window-to-Wall Ratio (%),39
Window Seperation (ft),12
Window U-Value (Btu/ft²hr°F),0.35
Solar Heat Gain Coefficient (shgc),0.35
Horizontal Shade Depth (ft),1
Number of Shades (Horizontal),0
Spacing (Horizontal) (ft),3
Distance from Facade (Horizontal) (ft),0
Height Above Window (ft),0
Angle,90
Vertical Shade Depth (ft),3
Number of Shades (Vertical),0
Spacing (Vertical) (ft),3
Left/Right,L
Left/Right Shift,0
Distance from Facade (Vertical) (ft),0
Full Height Louvers,true
Height Above Window (ft),3
Height Relative to Window (ft),5

Case 2 Result
% > max direct sun time, 13%, Pass

Case 2 Hours of Sun Floor Grid (length x depth)
depth, 59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.25,5.5,6,6.5,6.5,6.75,6.75,6.75,6.75,6.75,7,7,7,6.5,2.75,1.5,1,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.5,4.75,5.5,5.75,6,6.25,6.25,6.5,6.5,6.5,6.75,6.75,6.75,5.25,3.25,2,1.25,1,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,3.5,4.25,4.75,5.25,5.5,5.75,6,6,6.25,6.25,6.5,6.5,6,4.5,3,2.25,2,1.5,1.25,1,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.25,3.25,3.75,4.5,5,5.25,5.5,5.75,5.75,6,6,6.25,6.25,5.25,4,3.25,2.75,2,1.5,1.25,1,0.75,1,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.25,2.25,3.25,3.75,4.25,4.5,5,5.25,5.5,5.5,5.75,5.75,6,5.5,4.75,4,3,2.5,2,2,1.5,1.25,1,1,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.5,2.5,3,3.5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.75,3,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
